retrieval_date,year,metric,value,unit,population,value_status,yoy_change,yoy_status,recovery_2019_index,recovery_2019_status,geography_code,geography_name,geography_nuts_level
2026-09-11,2019,total_arrivals,3092167.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL52,Central Macedonia,2
2026-09-11,2019,total_nights,10809343.0,nights,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL52,Central Macedonia,2
2026-09-11,2020,total_arrivals,964095.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,-68.82137995780953,observed,31.178620042190474,observed,EL52,Central Macedonia,2
2026-09-11,2020,total_nights,2773076.0,nights,hotels and similar establishments excluding tourist campsites,observed,-74.34556383306553,observed,25.654436166934474,observed,EL52,Central Macedonia,2
2026-09-11,2021,total_arrivals,2068334.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,,population_break,,population_break,EL52,Central Macedonia,2
2026-09-11,2021,total_nights,8065946.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,,population_break,,population_break,EL52,Central Macedonia,2
2026-09-11,2022,total_arrivals,3779335.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,82.72363167650873,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2022,total_nights,15117068.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,87.41841316567206,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2023,total_arrivals,4185855.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,10.756389682311829,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2023,total_nights,16223226.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,7.317278720979492,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2024,total_arrivals,4428987.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,5.80841906850571,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2024,total_nights,17184700.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed,5.926527806491744,observed,,population_break,EL52,Central Macedonia,2
2026-09-11,2019,total_arrivals,1398043.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL522,Thessaloniki,3
2026-09-11,2019,total_nights,2864654.0,nights,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL522,Thessaloniki,3
2026-09-11,2020,total_arrivals,450141.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,-67.80206331278795,observed,32.19793668721206,observed,EL522,Thessaloniki,3
2026-09-11,2020,total_nights,912914.0,nights,hotels and similar establishments excluding tourist campsites,observed,-68.13178834162869,observed,31.868211658371308,observed,EL522,Thessaloniki,3
2026-09-11,2021,total_arrivals,626033.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL522,Thessaloniki,3
2026-09-11,2021,total_nights,1266367.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL522,Thessaloniki,3
2026-09-11,2022,total_arrivals,1165606.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,86.18922644652918,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2022,total_nights,2385531.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,88.37596052329222,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2023,total_arrivals,1408989.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,20.880383251287316,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2023,total_nights,2853469.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,19.615674665305114,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2024,total_arrivals,1487414.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,5.566047712224864,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2024,total_nights,3006254.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,5.35435990368216,observed,,population_break,EL522,Thessaloniki,3
2026-09-11,2019,total_arrivals,381366.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL525,Pieria,3
2026-09-11,2019,total_nights,1702416.0,nights,hotels and similar establishments excluding tourist campsites,observed,,no_prior_period,100.0,observed,EL525,Pieria,3
2026-09-11,2020,total_arrivals,156391.0,arrivals,hotels and similar establishments excluding tourist campsites,observed,-58.991887058626105,observed,41.0081129413739,observed,EL525,Pieria,3
2026-09-11,2020,total_nights,496466.0,nights,hotels and similar establishments excluding tourist campsites,observed,-70.8375626168927,observed,29.162437383107303,observed,EL525,Pieria,3
2026-09-11,2021,total_arrivals,230786.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL525,Pieria,3
2026-09-11,2021,total_nights,972701.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,,population_break,,population_break,EL525,Pieria,3
2026-09-11,2022,total_arrivals,342602.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,48.450079294237945,observed,,population_break,EL525,Pieria,3
2026-09-11,2022,total_nights,1577135.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,62.13975312043474,observed,,population_break,EL525,Pieria,3
2026-09-11,2023,total_arrivals,442000.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,29.0126735979358,observed,,population_break,EL525,Pieria,3
2026-09-11,2023,total_nights,1770657.0,nights,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,12.270477796764379,observed,,population_break,EL525,Pieria,3
2026-09-11,2024,total_arrivals,446976.0,arrivals,hotels and similar establishments excluding tourist campsites and short-stay accommodation establishments,observed,1.1257918552036283,observed,,population_break,EL525,Pieria,3
