year,month,nights,occupancy_percent,nights_population,occupancy_population
2019,1,229449.0,19.9,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,2,250285.0,23.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,3,341073.0,28.3,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,4,570378.0,26.5,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,5,938468.0,34.4,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,6,1600248.0,58.4,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,7,1943995.0,66.3,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,8,2038902.0,68.4,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,9,1487104.0,54.2,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,10,749964.0,31.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,11,325323.0,26.2,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2019,12,334154.0,26.8,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,1,223969.0,26.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,2,237580.0,30.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,3,78940.0,9.4,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,4,9431.0,22.3,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,5,15463.0,32.9,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,6,110142.0,8.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,7,499552.0,25.9,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,8,696944.0,36.2,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,9,447245.0,25.1,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,10,361846.0,27.0,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,11,41042.0,6.3,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2020,12,50922.0,8.6,hotels and similar establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,1,34997.0,6.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,2,42537.0,8.8,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,3,50392.0,9.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,4,53557.0,7.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,5,244453.0,15.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,6,971764.0,33.8,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,7,1900831.0,59.8,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,8,2252319.0,68.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,9,1519283.0,49.9,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,10,635628.0,35.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,11,205365.0,28.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2021,12,154820.0,20.9,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,1,120076.0,16.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,2,131061.0,20.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,3,202806.0,24.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,4,437552.0,26.4,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,5,1079078.0,41.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,6,2092492.0,57.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,7,3530503.0,71.9,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,8,3845760.0,76.8,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,9,2352222.0,53.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,10,760777.0,35.7,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,11,260178.0,20.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2022,12,304563.0,35.7,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,1,232278.0,26.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,2,238401.0,30.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,3,297442.0,28.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,4,556592.0,30.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,5,1158327.0,43.6,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,6,2364130.0,63.0,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,7,3596412.0,80.3,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,8,3888710.0,82.1,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,9,2422375.0,60.2,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
2023,10,815070.0,36.5,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,hotels and similar establishments excluding tourist campsites
