dataset_code,activity,year,month,value,status,flag
tour_occ_arm,I551,2019,1,640004.0,observed,
tour_occ_arm,I551,2019,2,683287.0,observed,
tour_occ_arm,I551,2019,3,1028775.0,observed,
tour_occ_arm,I551,2019,4,1853647.0,observed,
tour_occ_arm,I551,2019,5,2996572.0,observed,
tour_occ_arm,I551,2019,6,3776270.0,observed,
tour_occ_arm,I551,2019,7,4175095.0,observed,
tour_occ_arm,I551,2019,8,4453635.0,observed,
tour_occ_arm,I551,2019,9,3647214.0,observed,
tour_occ_arm,I551,2019,10,2204539.0,observed,
tour_occ_arm,I551,2019,11,833580.0,observed,
tour_occ_arm,I551,2019,12,771148.0,observed,
tour_occ_arm,I551,2020,1,739701.0,observed,
tour_occ_arm,I551,2020,2,791018.0,observed,
tour_occ_arm,I551,2020,3,231170.0,observed,
tour_occ_arm,I551,2020,4,15797.0,observed,
tour_occ_arm,I551,2020,5,32419.0,observed,
tour_occ_arm,I551,2020,6,290003.0,observed,
tour_occ_arm,I551,2020,7,1310710.0,observed,
tour_occ_arm,I551,2020,8,2067873.0,observed,
tour_occ_arm,I551,2020,9,1409509.0,observed,
tour_occ_arm,I551,2020,10,1071628.0,observed,
tour_occ_arm,I551,2020,11,138749.0,observed,
tour_occ_arm,I551,2020,12,111385.0,observed,
tour_occ_arm,I551,2021,1,134956.0,observed,
tour_occ_arm,I551,2021,2,156722.0,observed,
tour_occ_arm,I551,2021,3,191849.0,observed,
tour_occ_arm,I551,2021,4,178395.0,observed,
tour_occ_arm,I551,2021,5,525591.0,observed,
tour_occ_arm,I551,2021,6,1538295.0,observed,
tour_occ_arm,I551,2021,7,2932920.0,observed,
tour_occ_arm,I551,2021,8,3339351.0,observed,
tour_occ_arm,I551,2021,9,2755791.0,observed,
tour_occ_arm,I551,2021,10,1784099.0,observed,
tour_occ_arm,I551,2021,11,587122.0,observed,
tour_occ_arm,I551,2021,12,470820.0,observed,
tour_occ_arm,I551,2022,1,387548.0,observed,
tour_occ_arm,I551,2022,2,444475.0,observed,
tour_occ_arm,I551,2022,3,682750.0,observed,
tour_occ_arm,I551,2022,4,1632698.0,observed,
tour_occ_arm,I551,2022,5,2782249.0,observed,
tour_occ_arm,I551,2022,6,3517757.0,observed,
tour_occ_arm,I551,2022,7,4009122.0,observed,
tour_occ_arm,I551,2022,8,4288867.0,observed,
tour_occ_arm,I551,2022,9,3486009.0,observed,
tour_occ_arm,I551,2022,10,2096500.0,observed,
tour_occ_arm,I551,2022,11,798284.0,observed,
tour_occ_arm,I551,2022,12,766824.0,observed,
tour_occ_arm,I551,2023,1,659083.0,observed,
tour_occ_arm,I551,2023,2,699344.0,observed,
tour_occ_arm,I551,2023,3,1037771.0,observed,
tour_occ_arm,I551,2023,4,1920136.0,observed,
tour_occ_arm,I551,2023,5,3139946.0,observed,
tour_occ_arm,I551,2023,6,3992256.0,observed,
tour_occ_arm,I551,2023,7,4436270.0,observed,
tour_occ_arm,I551,2023,8,4674997.0,observed,
tour_occ_arm,I551,2023,9,3857078.0,observed,
tour_occ_arm,I551,2023,10,2329508.0,observed,
tour_occ_arm,I551,2023,11,906954.0,observed,
tour_occ_arm,I551,2023,12,836866.0,observed,
tour_occ_arm,I551,2024,1,660024.0,observed,
tour_occ_arm,I551,2024,2,716059.0,observed,
tour_occ_arm,I551,2024,3,1118160.0,observed,
tour_occ_arm,I551,2024,4,1973161.0,observed,
tour_occ_arm,I551,2024,5,3243687.0,observed,
tour_occ_arm,I551,2024,6,4133260.0,observed,
tour_occ_arm,I551,2024,7,4561095.0,observed,
tour_occ_arm,I551,2024,8,4885862.0,observed,
tour_occ_arm,I551,2024,9,3973534.0,observed,
tour_occ_arm,I551,2024,10,2428041.0,observed,
tour_occ_arm,I551,2024,11,932238.0,observed,
tour_occ_arm,I551,2024,12,868983.0,observed,
tour_occ_arm,I551,2025,1,685183.0,observed,
tour_occ_arm,I551,2025,2,730264.0,observed,
tour_occ_arm,I551,2025,3,1162114.0,observed,
tour_occ_arm,I551,2025,4,2044250.0,observed,
tour_occ_arm,I551,2025,5,3316726.0,observed,
tour_occ_arm,I551,2025,6,4258038.0,observed,
tour_occ_arm,I551,2025,7,4648014.0,observed,
