retrieval_date,year,geography_id,geography_name,metric,value,unit,population,value_status
2026-09-11,2019,EL30,Attica,total_arrivals,4844993.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL30,Attica,total_nights,10260847.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL41,Northern Aegean,total_arrivals,401790.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL41,Northern Aegean,total_nights,2005706.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL42,Southern Aegean,total_arrivals,5756216.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL42,Southern Aegean,total_nights,30592824.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL43,Crete,total_arrivals,5033786.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL43,Crete,total_nights,27962541.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL51,Eastern Macedonia and Thrace,total_arrivals,720197.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL51,Eastern Macedonia and Thrace,total_nights,2152142.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL52,Central Macedonia,total_arrivals,3092167.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL52,Central Macedonia,total_nights,10809343.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL53,Western Macedonia,total_arrivals,152498.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL53,Western Macedonia,total_nights,312803.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL54,Epirus,total_arrivals,611459.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL54,Epirus,total_nights,1558985.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL61,Thessaly,total_arrivals,1145714.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL61,Thessaly,total_nights,2661626.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL62,Ionian Islands,total_arrivals,2290210.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL62,Ionian Islands,total_nights,12790429.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL63,Western Greece,total_arrivals,704592.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL63,Western Greece,total_nights,1999273.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL64,Central Greece,total_arrivals,817403.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL64,Central Greece,total_nights,2163593.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL65,Peloponnese,total_arrivals,1492741.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2019,EL65,Peloponnese,total_nights,3936868.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL30,Attica,total_arrivals,1331720.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL30,Attica,total_nights,2969501.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL41,Northern Aegean,total_arrivals,93598.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL41,Northern Aegean,total_nights,498509.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL42,Southern Aegean,total_arrivals,1603500.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL42,Southern Aegean,total_nights,8229958.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL43,Crete,total_arrivals,1410617.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL43,Crete,total_nights,7083131.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL51,Eastern Macedonia and Thrace,total_arrivals,244831.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL51,Eastern Macedonia and Thrace,total_nights,791918.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL52,Central Macedonia,total_arrivals,964095.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL52,Central Macedonia,total_nights,2773076.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL53,Western Macedonia,total_arrivals,62178.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL53,Western Macedonia,total_nights,140050.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL54,Epirus,total_arrivals,270073.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL54,Epirus,total_nights,638628.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL61,Thessaly,total_arrivals,412312.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL61,Thessaly,total_nights,933793.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL62,Ionian Islands,total_arrivals,627428.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL62,Ionian Islands,total_nights,3332132.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL63,Western Greece,total_arrivals,278112.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL63,Western Greece,total_nights,727800.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL64,Central Greece,total_arrivals,309064.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL64,Central Greece,total_nights,799661.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL65,Peloponnese,total_arrivals,602434.0,arrivals,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2020,EL65,Peloponnese,total_nights,1458007.0,nights,hotels and similar establishments excluding tourist campsites,observed
2026-09-11,2021,EL30,Attica,total_arrivals,2449992.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL30,Attica,total_nights,5419672.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL41,Northern Aegean,total_arrivals,251181.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL41,Northern Aegean,total_nights,1352305.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL42,Southern Aegean,total_arrivals,4142924.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL42,Southern Aegean,total_nights,19823900.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL43,Crete,total_arrivals,3384917.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL43,Crete,total_nights,17951426.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL51,Eastern Macedonia and Thrace,total_arrivals,463132.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL51,Eastern Macedonia and Thrace,total_nights,1695069.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL52,Central Macedonia,total_arrivals,2068334.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL52,Central Macedonia,total_nights,8065946.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL53,Western Macedonia,total_arrivals,85021.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL53,Western Macedonia,total_nights,183720.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2021,EL54,Epirus,total_arrivals,485620.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
